trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.2, 'e': 0.1608066690215766}",20,0,10.155528369240386,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.1559824689509293}",20,0,5.010764499432799,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.15130299488240143}",25,9,19.781320282448583,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.14676390503592937}",20,0,-29.47366491603174,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.2, 'e': 0.1423609878848515}",20,1,16.52308858551752,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.13809015824830592}",20,2,-13.93874026766328,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.2, 'e': 0.13394745350085674}",25,7,5.484879028983945,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.12992902989583105}",20,12,11.031995986616723,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.12603115899895612}",30,13,-2.644718553863071,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.12225022422898742}",25,13,22.243497561407004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.1185827175021178}",20,13,14.877137715764164,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.11502523597705426}",20,5,-15.272336892156114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.2, 'e': 0.11157447889774263}",25,17,11.40602091322683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.10822724453081034}",25,19,9.583874236503572,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.10498042719488604}",25,0,36.61682016211263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.10183101437903945}",25,14,23.456466408579445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
