trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.2, 'e': 0.15009463529699918}",20,0,-82.42884809192975,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.13508517176729928}",25,0,-154.52021217645873,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.12157665459056935}",20,0,-81.0509739034368,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.10941898913151242}",20,0,-113.85185514479663,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.09847709021836118}",30,0,-200.70373499094927,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
23,False,"{'a': 0.2, 'e': 0.08862938119652507}",20,3,-50.04395795326466,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
24,False,"{'a': 0.2, 'e': 0.07976644307687256}",20,0,-225.1678244647762,"{0: 7, 1: 1, 2: 7, 3: 2, 4: 3}",0
25,False,"{'a': 0.2, 'e': 0.0717897987691853}",30,0,-133.5909881927637,"{0: 15, 1: 2, 2: 12, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.06461081889226677}",25,19,8.461487124789725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.2, 'e': 0.058149737003040096}",20,0,-54.49081250060862,"{0: 14, 1: 3, 2: 0, 3: 3, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.05233476330273609}",25,0,-59.24426876034836,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.047101286972462485}",35,0,-263.46161930966485,"{0: 16, 1: 4, 2: 10, 3: 2, 4: 3}",0
30,False,"{'a': 0.2, 'e': 0.04239115827521624}",20,0,-112.1982413280763,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.038152042447694615}",20,0,-44.213767758218104,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.2, 'e': 0.03433683820292515}",20,0,-40.0238522289477,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.2, 'e': 0.030903154382632636}",20,0,-131.24473604037698,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.027812838944369374}",25,0,-63.940400932792905,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.025031555049932437}",20,0,-60.15423409383905,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.2, 'e': 0.022528399544939195}",20,0,-99.35835714609078,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.020275559590445275}",30,0,-260.77754907580345,"{0: 12, 1: 5, 2: 7, 3: 3, 4: 3}",0
38,False,"{'a': 0.2, 'e': 0.01824800363140075}",25,0,-94.11449249362974,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
