trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.2, 'e': 0.013640005063481462}",25,20,9.263328895181768,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.013230804911577018}",25,4,31.807921622859965,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.012833880764229706}",35,26,16.43089318455411,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.012448864341302815}",25,8,25.60786697688749,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.01207539841106373}",20,12,14.13750203577191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.011713136458731817}",20,16,8.26735907413538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.011361742364969863}",25,20,11.72895238306819,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.011020890094020767}",30,8,36.25306478554413,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.010690263391200144}",20,3,7.026530283368993,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.010369555489464138}",30,9,35.816181919225784,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.010058468824780216}",25,12,25.64723098662767,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.009756714760036807}",35,20,25.790116089160268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.009464013317235703}",20,0,26.890537188896975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.2, 'e': 0.009180092917718633}",20,12,14.970094541054562,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.008904690130187073}",20,14,10.361220065982035,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.008637549426281461}",30,9,32.99055238663247,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.008378422943493016}",25,0,36.36872635995922,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.008127070255188227}",35,12,40.061169873537466,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.007883258147532579}",25,9,27.183025231026274,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.007646760403106601}",20,8,20.398701288262643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.007417357591013403}",20,0,34.671550140402566,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.2, 'e': 0.007194836863283}",30,12,30.098515387760095,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.0069789917573845105}",20,16,7.776720690201419,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.006769622004662975}",25,3,32.76912768643067,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.006566533344523086}",20,10,15.210237937332833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.006369537344187393}",20,0,27.03347244107433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.006178451223861771}",20,6,24.02158506794448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.005993097687145918}",25,17,16.843990194975625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.00581330475653154}",20,0,32.93802983869168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.005638905613835593}",30,12,32.06035714040365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.005469738445420525}",20,9,15.915187251049991,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.00530564629205791}",20,4,22.98968976993799,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.005146476903296172}",25,3,34.29143284251288,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.004992082596197287}",25,7,29.779319242686924,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.004842320118311368}",20,9,16.793375102122358,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.004697050514762027}",25,17,15.345047344314825,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.004556138999319166}",25,2,37.47290013572313,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.004419454829339591}",20,7,22.69954020064106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.004286871184459403}",30,22,12.584043881361746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.004158265048925621}",20,10,20.812181139721055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.004033517097457852}",25,3,39.01123647164968,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.003912511584534117}",25,16,16.530111396415858,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.0037951362369980928}",35,23,22.79956470905265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.00368128214988815}",30,10,34.130424426796836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
